Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
TAMAN SCIENTEX,Pasir Gudang,Johor,Freehold,"Terrace House, Cluster House",380000.0,387.0,177
BANDAR BARU PERMAS JAYA,Permas Jaya,Johor,Freehold,Terrace House,500000.0,392.0,173
TAMAN DAYA,Tebrau,Johor,Freehold,"Cluster House, Terrace House",504000.0,331.0,172
HORIZON HILLS,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,1180000.0,500.0,171
BUKIT SENTOSA,Serendah,Selangor,Freehold,"Bungalow, Terrace House",290000.0,232.0,166
D'Summit Residences,Skudai,Johor,Freehold,Service Residence,452900.0,602.0,165
BANDAR BARU SRI KLEBANG,Chemor,Perak,Freehold,"Terrace House, Semi D",472800.0,235.0,164
TAMAN DESA TEBRAU,Tebrau,Johor,Freehold,"Terrace House, Cluster House",930000.0,470.0,163
TAMAN PAGOH JAYA - TR 428,Pagoh,Johor,Freehold,Terrace House,80000.0,74.0,156
BANDAR BARU KANGKAR PULAI,Kulai,Johor,"Freehold, Leasehold","Cluster House, Terrace House",553200.0,297.0,155
TAMAN AROWANA [LENGGENG],Lenggeng,Negeri Sembilan,Leasehold,Terrace House,476240.0,310.0,152
TAMAN PERLING,Perling,Johor,Freehold,Terrace House,527500.0,286.0,152
LAYANGGKASA,Pasir Gudang,Johor,Freehold,Terrace House,551650.0,384.0,149
INDAHPURA,Kulai,Johor,Freehold,Terrace House,680000.0,377.0,145
TAMAN BUNGA RAYA,Serendah,Selangor,Leasehold,Terrace House,200000.0,186.0,144
TAMAN SEPADU JAYA (D'HALONA PLACE),Penaga,Penang,Freehold,Terrace House,307000.0,277.0,141
TAMAN SENTOSA,Klang,Selangor,Freehold,Terrace House,450000.0,357.0,141
TAMAN ANJUNG SUNGAI PETAI,Sungei Petai,Melaka,Freehold,"Terrace House, Semi D",298800.0,194.0,140
SEKSYEN 30 SHAH ALAM,Shah Alam,Selangor,Freehold,"Semi D, Terrace House",495000.0,308.0,140
TAMAN PUTERI WANGSA,Ulu Tiram,Johor,Freehold,Terrace House,450000.0,294.0,138
TAMAN SERAI RESIDENSI,Padang Serai,Kedah,Freehold,"Terrace House, Semi D",199800.0,143.0,136
TANJUNG PUTERI RESORT,Pasir Gudang,Johor,Freehold,"Bungalow, Terrace House",397800.0,258.0,135
BANDAR BARU SETIA AWAN PERDANA,Sitiawan,Perak,Freehold,"Cluster House, Terrace House",245000.0,139.0,128
TAMAN SRI IMPIAN / BANDAR SRI IMPIAN,Kluang,Johor,Freehold,Terrace House,419444.0,200.0,124
BANDAR SERI COALFIELDS,Ijok,Selangor,Freehold,"Terrace House, Cluster House",913800.0,432.0,123
TAMAN TASIK UTAMA,Bukit Katil,Melaka,Leasehold,Terrace House,270000.0,175.0,123
PULAU INDAH,Klang,Selangor,Freehold,Terrace House,350000.0,252.0,122
TAMAN UNGKU TUN AMINAH,Skudai,Johor,Freehold,Terrace House,530000.0,322.0,122
ELMINA WEST,Shah Alam,Selangor,Freehold,Terrace House,1060888.0,550.0,120
TAMAN SETIA INDAH,Tebrau,Johor,Freehold,Terrace House,610000.0,382.0,118
SEKSYEN 29 SHAH ALAM,Shah Alam,Selangor,Leasehold,Terrace House,472800.0,309.0,118
TAMAN BANANG JAYA,Batu Pahat,Johor,Freehold,Terrace House,618500.0,388.0,118
TAMAN SAUJANA,Kluang,Johor,Freehold,Terrace House,150000.0,107.0,117
Flat Taman Ungku Tun Aminah,Skudai,Johor,Freehold,Flat,140000.0,283.0,117
MERIDIN EAST,Pasir Gudang,Johor,Freehold,Terrace House,580000.0,414.0,115
TAMAN SKUDAI BARU,Skudai,Johor,Freehold,Terrace House,435000.0,325.0,114
TAMAN MUTIARA BESTARI,Skudai,Johor,Freehold,"Cluster House, Semi D",1114310.0,483.0,114
BUKIT BERUNTUNG,Serendah,Selangor,Freehold,Terrace House,300000.0,222.0,113
TAMAN RINTING,Masai,Johor,Freehold,Terrace House,430000.0,279.0,111
SETIA TROPIKA,Tampoi,Johor,Freehold,"Cluster House, Terrace House",911890.0,435.0,110
CALEDONIA,Ijok,Selangor,Freehold,Terrace House,509800.0,392.0,109
ALAM NUSANTARA,Setia Alam,Selangor,Freehold,Terrace House,872999.0,496.0,109
TAMAN SCIENTEX KOTA TINGGI,Kota Tinggi,Johor,Leasehold,Terrace House,80000.0,104.0,105
LAMAN ASPIRASI (BANTING),Banting,Selangor,Freehold,"Semi D, Terrace House",180000.0,129.0,104
BANDAR MAHKOTA CHERAS,Cheras,Selangor,Freehold,"Terrace House, Semi D, Town House",640000.0,422.0,103
PRIMA @ SITIAWAN,Sitiawan,Perak,Freehold,Terrace House,270610.0,193.0,102
BANDAR MAHKOTA BANTING (BANDAR BARU BROOKLANDS),Tanjong Duabelas,Selangor,Freehold,Terrace House,400000.0,258.0,102
OUG Parklane,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,Service Residence,580000.0,611.0,102
ALAM IMPIAN,Shah Alam,Selangor,Freehold,Terrace House,887800.0,488.0,99
Dorsett Residences Bukit Bintang,Bukit Bintang,Kuala Lumpur,Freehold,Service Residence,1482000.0,1664.0,94
BANDAR TASIK PUTERI,Rawang,Selangor,Leasehold,Terrace House,400000.0,281.0,93
BANDAR UTAMA,Bandar Utama,Selangor,Freehold,Terrace House,1510000.0,849.0,92
PERWIRA SERI ISKANDAR,Seri Iskandar,Perak,Leasehold,Terrace House,145000.0,104.0,92
TAMAN AUSTIN DUTA,Tebrau,Johor,Freehold,"Terrace House, Cluster House",781000.0,493.0,92
TAMAN PULAI INDAH,Skudai,Johor,Freehold,"Terrace House, Cluster House",460000.0,321.0,92
BANDAR BARU LAPANGAN,Ipoh,Perak,Leasehold,Terrace House,588800.0,369.0,91
TAMAN PUTERIMAS (KLUANG),Kluang,Johor,Freehold,Terrace House,250750.0,119.0,89
D'ART HILLS RESIDENCE,Senai,Johor,Freehold,Terrace House,839000.0,591.0,89
TAMAN DESA BERTAM,Tanjong Minyak,Melaka,Freehold,"Semi D, Cluster House",453000.0,185.0,89
TAMAN REM,Kota Tinggi,Johor,Leasehold,Terrace House,246600.0,160.0,89
TAMAN PULAI MUTIARA 2,Skudai,Johor,Freehold,"Terrace House, Cluster House",564230.0,252.0,88
KOTA BAYUEMAS,Klang,Selangor,Freehold,"Terrace House, Semi D",804000.0,446.0,88
TAMAN KOTA IMPIAN @ IMPIAN HILLS,Kota Tinggi,Johor,Freehold,Terrace House,713000.0,405.0,87
EKA HEIGHTS - PRECINCT 3B,Labu,Negeri Sembilan,Freehold,Terrace House,400000.0,267.0,87
BANDAR SPRINGHILL,Jimah,Negeri Sembilan,Freehold,Terrace House,220000.0,179.0,86
TAMAN HIJAUAN VALDOR,Sungai Bakap,Penang,Freehold,"Terrace House, Semi D",675000.0,241.0,85
TAMAN SRI GOMBAK,Batu Caves,Selangor,Freehold,Terrace House,450000.0,556.0,85
Flora Damansara Apartment,Damansara Perdana,Selangor,Leasehold,Apartment,380000.0,447.0,85
TAMAN KOTA SRI AHMAD SHAH,Kuantan,Pahang,Leasehold,Terrace House,582222.0,334.0,84
TAMAN MESRA IMPIAN,Kampar,Perak,Leasehold,Terrace House,300000.0,214.0,83
S2 HEIGHTS,Seremban 2,Negeri Sembilan,Freehold,Terrace House,775800.0,464.0,83
TAMAN SERI MAHKOTA,Sitiawan,Perak,Freehold,Terrace House,250000.0,179.0,82
TAMAN KINDING AKASIA,Ipoh,Perak,Leasehold,Terrace House,260000.0,186.0,82
TAMAN SHOREA HARTAMAS,Pasir Panjang,Negeri Sembilan,Freehold,Terrace House,250000.0,183.0,82
PRIMA D'MARINA,Kuantan,Pahang,Leasehold,Terrace House,431167.0,271.0,82
BUKIT JELUTONG,Shah Alam,Selangor,Freehold,"Semi D, Terrace House, Bungalow",980000.0,437.0,81
BERIS MERAGA,Kijal,Terengganu,Freehold,"Semi D, Terrace House",320000.0,126.0,81
BAYU SUTERA - PRECINCT 3B,Jimah,Negeri Sembilan,Freehold,Terrace House,675888.0,483.0,80
BANDAR IOI,Segamat,Johor,Freehold,Terrace House,349350.0,208.0,80
BANDAR COUNTRY HOMES,Rawang,Selangor,Freehold,"Terrace House, Semi D",420000.0,313.0,79
Setia Sky 88,Johor Bahru,Johor,Freehold,Service Residence,1386800.0,1270.0,79
PER. PERMATANG BADAK PERDANA (PL 177521),Kuantan,Pahang,Leasehold,Terrace House,325000.0,232.0,78
EKA HEIGHTS - PRECINCT 3A,Labu,Negeri Sembilan,Freehold,Terrace House,380000.0,267.0,78
TAMAN PUTRI KULAI,Kulai,Johor,Freehold,Terrace House,450000.0,292.0,78
TAMAN CENTURY,Johor Bahru,Johor,Freehold,"Terrace House, Semi D",609000.0,327.0,78
BANDAR BARU UDA,Johor Bahru,Johor,"Leasehold, Freehold",Terrace House,500000.0,279.0,78
BANDAR SAUJANA PUTRA,Tanjong Duabelas,Selangor,Leasehold,Terrace House,450000.0,339.0,78
TAMAN PUNCAK JALIL,Seri Kembangan,Selangor,Leasehold,Terrace House,580000.0,400.0,78
TAMAN NADA EMBUN,Rantau,Negeri Sembilan,Freehold,Terrace House,522000.0,368.0,77
RESIDENSI MESRA,Gurun,Kedah,Freehold,Terrace House,232000.0,141.0,76
TAMAN MEGAH RIA,Masai,Johor,Freehold,"Terrace House, Semi D",436440.0,320.0,76
TAMAN SAFFRON,Serendah,Selangor,Freehold,Terrace House,437100.0,357.0,75
SERENIA CITY,Dengkil,Selangor,Freehold,Terrace House,828888.0,532.0,75
PUTRA HEIGHTS,Subang Jaya,Selangor,Freehold,Terrace House,855000.0,448.0,75
TAMAN AROWANA,Sungai Petani,Kedah,Freehold,Terrace House,276800.0,230.0,74
KOTA KEMUNING,Shah Alam,Selangor,Freehold,Terrace House,844000.0,417.0,74
BANDAR PUTERI KLANG,Klang,Selangor,Freehold,Terrace House,682500.0,434.0,74
BANDAR PUCHONG JAYA,Puchong,Selangor,Freehold,Terrace House,725000.0,513.0,74
TAMAN PONDEROSA,Johor Bahru,Johor,Freehold,Semi D,1110900.0,535.0,74
TAMAN DESA JAYA,Johor Bahru,Johor,Freehold,Terrace House,440000.0,338.0,73
LAMAN SETIA,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,650000.0,389.0,73
TAMAN PELANGI INDAH,Ulu Tiram,Johor,Freehold,"Terrace House, Semi D",600000.0,308.0,73
TAMAN PUTERI,Padang Serai,Kedah,Freehold,Terrace House,204000.0,159.0,72
TAMAN SENGKANG,Pasir Panjang,Negeri Sembilan,Freehold,Terrace House,279000.0,192.0,72
Mkh Boulevard,Kajang,Selangor,Leasehold,Service Residence,299000.0,503.0,72
LA CASA LUNAS,Lunas,Kedah,Freehold,Semi D,516888.0,227.0,71
TAMAN RAIA UTAMA,Gopeng,Perak,Freehold,Terrace House,268000.0,192.0,71
MEKARSARI UNGGUL (FASA III),Kepala Batas,Penang,Freehold,Terrace House,613000.0,366.0,71
PUNCAK ALAM,Bandar Puncak Alam,Selangor,Leasehold,"Cluster House, Terrace House",400000.0,288.0,71
Palmyra Residences,Bangi,Selangor,Freehold,Service Residence,432000.0,508.0,71
TAMAN SERI AUSTIN,Tebrau,Johor,Freehold,"Terrace House, Cluster House",719000.0,464.0,70
BANDAR SRI ASTANA,Sungai Petani,Kedah,Freehold,Terrace House,260000.0,177.0,70
BANDAR BARU SRI DAMANSARA,Bandar Sri Damansara,Selangor,Freehold,Terrace House,894000.0,564.0,70
TAMAN DESA CEMERLANG,Ulu Tiram,Johor,Freehold,Terrace House,495000.0,357.0,70
BANDAR DAMAI PERDANA,Cheras,Selangor,Freehold,Terrace House,775000.0,543.0,70
SERELYN AVENUE,Kuantan,Pahang,Leasehold,Terrace House,388000.0,231.0,69
TAMAN PELANGI,Johor Bahru,Johor,Freehold,"Semi D, Terrace House",750000.0,325.0,69
TAMAN SETIA MUTIARA,Kluang,Johor,Freehold,"Terrace House, Semi D",150000.0,107.0,69
BANDAR CEMERLANG,Tebrau,Johor,Freehold,"Cluster House, Semi D",828000.0,345.0,69
SETIA IMPIAN 3,Setia Alam,Selangor,Freehold,"Terrace House, Semi D",930000.0,584.0,69
ECO BOTANIC,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,1260000.0,580.0,68
TAMAN PULAI MUTIARA,Skudai,Johor,Freehold,"Terrace House, Cluster House",550000.0,426.0,68
GOODVIEW HEIGHTS,Kajang,Selangor,Freehold,"Terrace House, Town House",768800.0,542.0,67
TAMAN KERSANI,Kuala Pilah,Negeri Sembilan,Freehold,Terrace House,298000.0,192.0,67
IRAMA SENDAYAN 2C,Labu,Negeri Sembilan,Freehold,Terrace House,584999.0,417.0,67
BANDAR SERI BOTANI,Ipoh,Perak,"Freehold, Leasehold","Terrace House, Semi D",496800.0,344.0,67
TAMAN KLANG UTAMA,Kapar,Selangor,Freehold,Terrace House,427500.0,403.0,66
TAMAN DESA PD,Linggi,Negeri Sembilan,Freehold,Terrace House,180000.0,131.0,66
Mentari Court,Bandar Sunway,Selangor,Leasehold,Apartment,400000.0,516.0,66
TAMAN BENTARA,Telok Panglima Garang,Selangor,Leasehold,Terrace House,455000.0,287.0,65
BANDAR TASIK KESUMA,Beranang,Selangor,Freehold,"Semi D, Town House, Terrace House",400000.0,293.0,64
TAMAN POLO LAGUNA @ TAMBUN,Ipoh,Perak,Leasehold,Terrace House,487800.0,349.0,64
TAMAN HARMONIS FASA 2,Seri Iskandar,Perak,Leasehold,"Terrace House, Cluster House",240000.0,175.0,64
TAMAN TUN DR ISMAIL,Taman Tun Dr Ismail,Kuala Lumpur,Freehold,Terrace House,1585000.0,768.0,64
TAMAN KAMUNTING PUTRA FASA 1,Kamunting,Perak,Leasehold,Terrace House,171000.0,131.0,63
BANDAR SUNGAI LONG,Bandar Sungai Long,Selangor,Freehold,Terrace House,690000.0,440.0,63
BANDAR BARU SRI PETALING,Sri Petaling,Kuala Lumpur,Leasehold,"Terrace House, Semi D",845000.0,511.0,63
BANDAR AMANJAYA (ZON ANGGERIK),Sungai Petani,Kedah,Freehold,"Semi D, Terrace House",215000.0,166.0,63
CHEMOR KAYANGAN,Ipoh,Perak,Leasehold,Terrace House,228000.0,156.0,62
BANDAR JAYA PUTRA,Tebrau,Johor,Freehold,"Terrace House, Cluster House",1201200.0,549.0,62
BANDAR JAYA PUTRA,Ulu Tiram,Johor,Freehold,Terrace House,620000.0,501.0,62
TAMAN SRI MUDA,Shah Alam,Selangor,Freehold,Terrace House,330000.0,321.0,61
TAMAN PENAWAR HARMONI,Pengerang,Johor,Leasehold,Terrace House,80000.0,67.0,60
TAMAN GADONG JAYA,Labu,Negeri Sembilan,Freehold,"Terrace House, Town House",280000.0,207.0,60
TAMAN MOLEK,Johor Bahru,Johor,Freehold,Terrace House,600000.0,322.0,60
ALAM SARI BANGI,Bangi,Selangor,Freehold,"Terrace House, Cluster House",857000.0,416.0,60
BANDAR SUNGAI BUAYA,Serendah,Selangor,Leasehold,Terrace House,300000.0,188.0,60
Sri Putramas,Jalan Kuching,Kuala Lumpur,Freehold,Condominium,650000.0,619.0,60
TAMAN RIA,Sungai Petani,Kedah,Freehold,Terrace House,220000.0,152.0,59
KOTA PUTERI BANDAR BARU BATU ARANG,Batu Arang,Selangor,Leasehold,Terrace House,590000.0,272.0,59
TAMAN SAMARINDAH,Kota Samarahan,Sarawak,"Freehold, Leasehold",Terrace House,300000.0,168.0,59
TAMAN TUNKU,Miri,Sarawak,Leasehold,Terrace House,288000.0,182.0,59
Royal Domain Sri Putramas 2,Jalan Kuching,Kuala Lumpur,Freehold,Condominium,850000.0,669.0,59
SETIA ECOHILL,Semenyih,Selangor,Freehold,Terrace House,670000.0,354.0,58
SS2 PETALING JAYA,Petaling Jaya,Selangor,Freehold,Terrace House,1120000.0,625.0,58
AMBANG BOTANIC,Klang,Selangor,Freehold,"Semi D, Bungalow",1590000.0,546.0,58
BANDAR TASEK MUTIARA,Simpang Ampat,Penang,Freehold,Terrace House,425000.0,270.0,58
ECO MAJESTIC,Beranang,Selangor,Freehold,"Cluster House, Terrace House",854000.0,431.0,58
TAMAN TASIK INDAH,Kluang,Johor,Freehold,Terrace House,614000.0,258.0,58
TAMAN KRUBONG HEIGHTS,Krubong,Melaka,Freehold,Terrace House,405800.0,290.0,57
TAMAN KAMUNTING PELANGI,Taiping,Perak,Freehold,Terrace House,299000.0,203.0,57
TAMAN PUNCAK CERIA (IDAMAN HILLS),Kluang,Johor,Freehold,Terrace House,538000.0,253.0,57
TAMAN NUSA BAYU,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,600000.0,464.0,57
BANDAR LAGUNA MERBOK (TERES),Sungai Petani,Kedah,Freehold,Terrace House,400000.0,264.0,57
Palm Spring @ Damansara,Kota Damansara,Selangor,Leasehold,Condominium,530000.0,525.0,57
TAMAN PERAKKU SERDANG,Sitiawan,Perak,Leasehold,Terrace House,116000.0,50.0,56
BANDAR SERI ALAM,Masai,Johor,Freehold,Terrace House,496500.0,305.0,56
BANDAR JASIN BISTARI,Bemban,Melaka,Leasehold,Terrace House,230435.0,150.0,56
BERTAM PERDANA,Kepala Batas,Penang,Freehold,"Cluster House, Terrace House",310000.0,260.0,55
BANDAR PUTERI JAYA SEKSYEN 1,Sungai Petani,Kedah,Freehold,Terrace House,228000.0,200.0,55
TAMAN MOUNT AUSTIN,Tebrau,Johor,Freehold,"Terrace House, Semi D",700000.0,441.0,55
RESIDENSI MERBOK,Nibong Tebal,Penang,Freehold,"Semi D, Bungalow",960000.0,274.0,55
TAMAN DESA IMPIAN 2 (FASA 2),Bukit Mertajam,Penang,Freehold,Semi D,900000.0,311.0,54
LAKE GARDEN RESIDENCE(TAMAN KLEBANG TEKOMA,Ipoh,Perak,Leasehold,"Terrace House, Semi D",499800.0,357.0,54
BANDAR BOTANIC,Klang,Selangor,Freehold,Terrace House,767500.0,468.0,54
TAMAN SRI SAUJANA,Kota Tinggi,Johor,Freehold,Terrace House,380000.0,271.0,54
BANDAR AMANJAYA (KEMBOJA),Sungai Petani,Kedah,Freehold,Terrace House,230000.0,165.0,54
Seksyen 2 Wangsa Maju Flat,Wangsa Maju,Kuala Lumpur,Leasehold,Flat,224500.0,380.0,54
Melinsung Summer Bay Resort,Papar,Sabah,Leasehold,Apartment,115000.0,218.0,54
TAMAN POLITEKNIK,Telok Kemang,Negeri Sembilan,Freehold,Terrace House,230000.0,177.0,53
KUALA BERANG,Hulu Terengganu,Terengganu,"Freehold, Leasehold","Bungalow, Terrace House",200000.0,62.0,53
"TAMAN ALAMANDA, BANDAR BARU SEGARI",Lumut,Perak,Leasehold,Terrace House,155500.0,120.0,53
TAMAN PUNCAK KASIH MERLIMAU PASIR,Merlimau,Melaka,Freehold,Terrace House,179800.0,127.0,53
TAMAN NUSANTARA,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,420000.0,372.0,53
TAMAN NUSA BESTARI 2,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,540000.0,363.0,53
SETIA ECO PARK,Setia Alam,Selangor,Freehold,"Bungalow, Semi D",2450000.0,534.0,53
BANDAR TASIK SENANGIN,Lenggeng,Negeri Sembilan,Freehold,Bungalow,435000.0,105.0,53
TAMAN SENTOSA,Johor Bahru,Johor,Freehold,"Semi D, Terrace House",700000.0,321.0,53
TAMAN LANGAT UTAMA 3,Tanjong Duabelas,Selangor,Leasehold,Terrace House,410000.0,282.0,53
AMBER 2 @ BUKIT SENTOSA,Serendah,Selangor,Freehold,Terrace House,452000.0,385.0,52
TAMAN BUKIT SENAWANG PERDANA,Rantau,Negeri Sembilan,Freehold,Terrace House,80000.0,67.0,52
KOTA EMERALD,Rawang,Selangor,Freehold,"Terrace House, Semi D",795000.0,383.0,52
TAMAN MELAWATI,Ulu Klang,Selangor,Freehold,"Terrace House, Semi D",686000.0,483.0,51
BUKIT BANYAN,Sungai Petani,Kedah,Freehold,"Town House, Terrace House, Semi D",499900.0,267.0,51
BANDAR RINCHING,Semenyih,Selangor,Freehold,Terrace House,400000.0,292.0,51
DAMANSARA HEIGHTS (BUKIT DAMANSARA),Damansara Heights,Kuala Lumpur,Freehold,"Bungalow, Semi D",3600000.0,700.0,51
TAMAN NILAM SARI,Seremban,Negeri Sembilan,Leasehold,Terrace House,411800.0,317.0,50
TAMAN AIR MANIS,Sabak Bernam,Selangor,Leasehold,"Cluster House, Terrace House",250000.0,179.0,50
TAMAN BERTAM HEIGHTS,Tanjong Minyak,Melaka,Freehold,Terrace House,180000.0,138.0,50
TAMAN PASIR PUTIH,Pasir Gudang,Johor,Freehold,Terrace House,375000.0,273.0,50
BANDAR PUTERA 2,Klang,Selangor,Leasehold,Terrace House,411640.0,344.0,50
TAMAN KERIAN SENTOSA,Parit Buntar,Perak,Leasehold,Terrace House,368800.0,267.0,50
Medini Signature,Iskandar Puteri (Nusajaya),Johor,Freehold,Condominium,814800.0,505.0,50
Angkasa Condominiums,Cheras,Kuala Lumpur,Freehold,Condominium,600000.0,648.0,50
BANDAR SEBERANG JAYA,Seberang Jaya,Penang,Leasehold,Terrace House,280000.0,294.0,49
AMBER 1@BUKIT SENTOSA,Serendah,Selangor,Freehold,Terrace House,430000.0,332.0,49
TAMAN SRI SKUDAI,Skudai,Johor,Freehold,Terrace House,400000.0,283.0,49
TAMAN AIR BIRU,Pasir Gudang,Johor,Leasehold,"Semi D, Terrace House",270000.0,245.0,49
TAMAN SRI PULAI PERDANA,Kulai,Johor,Freehold,Terrace House,499000.0,382.0,49
TAMAN LESTARI PUCHONG,Seri Kembangan,Selangor,Leasehold,Terrace House,508000.0,338.0,49
NUSA SENTRAL,Iskandar Puteri (Nusajaya),Johor,Freehold,"Semi D, Terrace House",770000.0,485.0,49
TAMAN CEMPAKA,Ipoh,Perak,"Freehold, Leasehold",Terrace House,199000.0,202.0,49
IRAMA SENDAYAN 2A,Labu,Negeri Sembilan,Freehold,Terrace House,559444.0,379.0,48
TAMAN BAKTI [YNS],Labu,Negeri Sembilan,Freehold,Terrace House,80000.0,67.0,48
BANDAR PUTERI PUCHONG,Puchong,Selangor,Freehold,Terrace House,1225000.0,620.0,48
KEPONG BARU,Kepong,Kuala Lumpur,"Leasehold, Freehold",Terrace House,667500.0,445.0,48
BANDAR KINRARA,Bandar Kinrara,Selangor,Freehold,Terrace House,1415000.0,621.0,48
TAMAN RIA JAYA FASA 2,Sungai Petani,Kedah,Freehold,Terrace House,197500.0,146.0,48
TAMAN CAHAYA MASAI,Pasir Gudang,Johor,Leasehold,Terrace House,300000.0,381.0,48
Nusa Perdana Apartment,Iskandar Puteri (Nusajaya),Johor,Freehold,Service Residence,360000.0,386.0,48
TAMAN MELOR JAYA,Gerisek,Johor,Freehold,Terrace House,165000.0,100.0,47
TANJUNG TEMASEK,Ipoh,Perak,Leasehold,Terrace House,303800.0,226.0,47
ALAM PERDANA,Ijok,Selangor,Leasehold,Terrace House,310000.0,189.0,47
TAMAN KRUBONG JAYA,Krubong,Melaka,Leasehold,Terrace House,290000.0,223.0,47
TAMAN ADDA,Tebrau,Johor,Freehold,"Terrace House, Cluster House",1000000.0,387.0,47
TAMAN BANDAR UTAMA TAMPIN,Tampin,Negeri Sembilan,Freehold,"Semi D, Terrace House",299473.0,145.0,47
Taman Terubong Indah (Majestic Heights),Ayer Itam,Penang,Freehold,Flat,170000.0,243.0,47
TAMAN CASSIA BAHAU,Bahau,Negeri Sembilan,Leasehold,Terrace House,249000.0,192.0,46
TAMAN MAHSURI,Padang Serai,Kedah,Freehold,Terrace House,270000.0,208.0,46
TAMAN BUKIT PERDANA,Batu Pahat,Johor,Freehold,Terrace House,390000.0,253.0,46
TAMAN PUCHONG UTAMA,Puchong,Selangor,Freehold,Terrace House,600000.0,454.0,46
USJ 3,Subang Jaya,Selangor,Freehold,Terrace House,765000.0,482.0,46
TAMAN EVERGREEN HEIGHTS,Batu Pahat,Johor,Freehold,Terrace House,420000.0,244.0,46
TAMAN LAGENDA,Padang Serai,Kedah,Freehold,Terrace House,292500.0,214.0,46
Molek Regency,Johor Bahru,Johor,Freehold,Service Residence,580000.0,536.0,46
Platinum Suites (The Face Suites),KLCC,Kuala Lumpur,Freehold,Service Residence,1453150.0,1827.0,46
TAMAN SAUJANA MANJUNG,Sitiawan,Perak,Leasehold,"Semi D, Terrace House",329890.0,279.0,45
MERU SENTOSA,Ipoh,Perak,Leasehold,Terrace House,340194.0,235.0,45
TAMAN TERATAI,Kulai,Johor,Freehold,Terrace House,330000.0,273.0,45
TAMAN SEMENTA PERMAI,Kapar,Selangor,Freehold,Terrace House,358000.0,254.0,45
TAMAN KOTA JAYA,Kota Tinggi,Johor,Freehold,"Semi D, Terrace House",310000.0,198.0,45
TAMAN SENAI JAYA,Senai,Johor,Freehold,Terrace House,170000.0,110.0,45
PR1MA @ PORT DICKSON,Lukut,Negeri Sembilan,Freehold,Terrace House,287850.0,210.0,45
TAMAN SCIENTEX SENAI,Senai,Johor,Freehold,Terrace House,480000.0,446.0,45
Green Garden,Ayer Itam,Penang,Freehold,Flat,180000.0,335.0,45
SCIENTEX SEREMBAN,Seremban,Negeri Sembilan,Freehold,Terrace House,380000.0,272.0,44
BANDAR UTAMA BATANG KALI,Batang Kali,Selangor,Freehold,"Terrace House, Cluster House",232500.0,208.0,44
TAMAN BUKIT TIRAM,Ulu Tiram,Johor,Freehold,Terrace House,380000.0,366.0,44
PULAI JAYA,Kulai,Johor,Freehold,Terrace House,520000.0,346.0,43
